,Forecast,Lower Bound,Upper Bound
2025-01-12,322737.5225758846,268630.21265955706,376844.8324922121
2025-01-19,319661.60145906423,256302.50457901563,383020.69833911286
2025-01-26,336503.2539374566,266069.037537217,406937.47033769614
2025-02-02,326740.2018926946,249020.58805808748,404459.81572730164
2025-02-09,338772.0935989705,255144.7640593191,422399.4231386219
2025-02-16,328103.11443521705,238290.8827637062,417915.3461067279
2025-02-23,338708.37827842793,243706.3838546466,433710.3727022093
2025-03-02,331124.68681577867,230665.1701531356,431584.2034784217
2025-03-09,338080.8500200052,232930.34597439363,443231.35406561673
2025-03-16,329107.40815539646,219025.6060538395,439189.21025695343
2025-03-23,335878.2268481259,221478.20148091618,450278.25221533567
2025-03-30,325795.5719303552,206867.33212066797,444723.81174004247
2025-04-06,334003.90927753993,211049.9994906226,456957.81906445726
2025-04-13,336464.5245630521,209303.60281022085,463625.44631588337
2025-04-20,340492.11706766696,209543.33125432604,471440.9028810079
2025-04-27,332152.49045448273,197260.17973972467,467044.8011692408
2025-05-04,341594.0129676842,203112.31878520423,480075.7071501642
2025-05-11,335829.7180443696,193625.50063966578,478033.93544907344
2025-05-18,342799.7130187786,197175.2183461528,488424.2076914044
2025-05-25,330692.1497971904,181533.79243867175,479850.507155709
2025-06-01,344760.1900080736,192328.02961669635,497192.3503994508
2025-06-08,338912.65394825506,183110.00579498525,494715.3021015249
2025-06-15,340344.41367426154,181396.55479910295,499292.27254942013
2025-06-22,338340.7584235819,176165.5820839458,500515.934763218
2025-06-29,342398.61750837823,177192.39560047092,507604.8394162855
2025-07-06,334923.43270272145,166616.6241074658,503230.2412979771
2025-07-13,338362.35894202586,167126.82316898453,509597.89471506723
2025-07-20,339315.0474740981,165092.0737355009,513538.0212126953
2025-07-27,338690.19361755816,161630.93559656013,515749.4516385562
2025-08-03,338725.7505870761,158780.834275024,518670.66689912823
2025-08-10,341885.19167188456,159188.09389146138,524582.2894523077
2025-08-17,337421.8889003619,151931.28742569193,522912.49037503183
2025-08-24,339935.87446810975,151770.07052749424,528101.6784087252
2025-08-31,340692.4135335232,149817.03065787794,531567.7964091685
2025-09-07,340007.6919993812,146527.93969217176,533487.4443065906
2025-09-14,336129.4659970463,140016.96076965623,532241.9712244364
2025-09-21,333268.0507551753,134616.65970711532,531919.4418032353
2025-09-28,336824.00040955277,135610.51142764802,538037.4893914575
2025-10-05,341832.63062418404,138141.04651496382,545524.2147334042
2025-10-12,332642.42416199646,126453.99492016781,538830.8534038251
2025-10-19,339796.4741099983,131186.5943265456,548406.353893451
2025-10-26,337044.8439736837,125998.61279800718,548091.0751493602
2025-11-02,332696.8948864857,119282.17143729707,546111.6183356743
2025-11-09,336277.22099166457,120482.4233111435,552072.0186721856
2025-11-16,337867.14971428004,119753.52167577579,555980.7777527843
2025-11-23,335639.25180970837,115198.07118867422,556080.4324307425
2025-11-30,330138.87311715394,107425.56105170408,552852.1851826038
2025-12-07,336919.920345832,111928.21641711405,561911.62427455
2025-12-14,333638.1786968167,106418.3662435454,560857.991150088
2025-12-21,331573.97819085984,102121.91348382595,561026.0428978937
2025-12-28,327375.0835058203,95736.50594124067,559013.6610703999
2026-01-04,347058.9029844726,113231.48602198708,580886.3199469581
