Week,Forecast,Lower Bound,Upper Bound,Route
2025-01-12,42599.7737399991,23842.343882225796,61357.20359777241,66
2025-01-19,43180.779757564276,19071.00486895685,67290.5546461717,66
2025-01-26,50651.985972479466,23021.406816801507,78282.56512815742,66
2025-02-02,51835.63377107097,21084.754697830722,82586.51284431122,66
2025-02-09,52652.16863957056,19069.669877925313,86234.66740121582,66
2025-02-16,51635.013194397114,15441.755778481027,87828.2706103132,66
2025-02-23,50993.33812607875,12365.374917107642,89621.30133504985,66
2025-03-02,52263.727853899836,11345.673147297697,93181.78256050198,66
2025-03-09,51849.51342153358,8762.916198367464,94936.11064469969,66
2025-03-16,53092.26218450001,7941.154561649768,98243.36980735025,66
2025-03-23,52514.54323426041,5389.282716475842,99639.80375204497,66
2025-03-30,50619.44492960732,1599.4710600924009,99639.41879912224,66
2025-04-06,51487.0348179197,642.9053881931468,102331.16424764626,66
2025-04-13,55289.13970680606,2684.071920844166,107894.20749276795,66
2025-04-20,54649.922475167885,340.9838364455645,108958.8611138902,66
2025-04-27,55710.87949807352,-250.0754201850359,111671.83441633207,66
2025-05-04,56836.3688505942,-729.212312651478,114401.95001383987,66
2025-05-11,56738.65831016233,-2388.0175135391546,115865.33413386383,66
2025-05-18,57317.673771769674,-3329.9267847234587,117965.2743282628,66
2025-05-25,57779.85390735752,-4351.451507536229,119911.15932225127,66
2025-06-01,54776.318723483084,-8804.077405022326,118356.7148519885,66
2025-06-08,57893.93321668792,-7103.254654454067,122891.1210878299,66
2025-06-15,55885.29579216693,-10498.452900230579,122269.04448456444,66
2025-06-22,55680.748052212955,-12061.186890289588,123422.68299471549,66
2025-06-29,56581.21331026643,-12492.207113606513,125654.63373413938,66
2025-07-06,52982.84672283715,-17396.873853135367,123362.56729880968,66
2025-07-13,56520.99113036279,-15141.221559804893,128183.20382053047,66
2025-07-20,56825.82589042562,-16096.327032740955,129747.9788135922,66
2025-07-27,56870.54009595302,-17290.150611783436,131031.23080368948,66
2025-08-03,58030.20176129504,-17348.679270114626,133409.0827927047,66
2025-08-10,57404.89409930524,-19172.80085716542,133982.5890557759,66
2025-08-17,55020.3821950818,-22737.646484567296,132778.4108747309,66
2025-08-24,51562.76586256142,-27357.945509321136,130483.47723444397,66
2025-08-31,59731.38351586816,-20335.128477242004,139797.89550897834,66
2025-09-07,55254.07993323848,-25942.065308033387,136450.22517451033,66
2025-09-14,58181.36429792086,-24128.912468352828,140491.64106419455,66
2025-09-21,58845.30019709292,-24564.227559869192,142254.82795405504,66
2025-09-28,58601.94150923403,-25892.537481634332,143096.4205001024,66
2025-10-05,60075.67063295366,-25490.00378872759,145641.3450546349,66
2025-10-12,59539.4370314544,-27084.187335897113,146163.0613988059,66
2025-10-19,58928.40858991262,-28740.399761945766,146597.216941771,66
2025-10-26,58735.28797237663,-29966.389673165882,147436.96561791914,66
2025-11-02,58358.28417593748,-31364.373366249703,148080.94171812467,66
2025-11-09,57338.91830828235,-33393.231097159696,148071.0677137244,66
2025-11-16,57764.84320826887,-33965.689304250205,149495.37572078794,66
2025-11-23,53158.9756936566,-39559.19002552262,145877.1414128358,66
2025-11-30,47095.4938112911,-46599.89515544536,140790.88277802756,66
2025-12-07,56448.896074060925,-38213.62857496214,151111.42072308398,66
2025-12-14,54835.160799742844,-40784.71805515719,150455.03965464287,66
2025-12-21,54338.93448846538,-42228.80801142235,150906.6769883531,66
2025-12-28,40951.940004276075,-56554.452354499466,138458.33236305162,66
2026-01-04,27935.18081239122,-70500.9111972083,126371.27282199074,66
2025-01-12,39271.7539720448,23362.990767992844,55180.51717609675,9
2025-01-19,40976.05599585094,20561.118259502793,61390.99373219909,9
2025-01-26,47810.4498040051,24600.69353808795,71020.20606992225,9
2025-02-02,49816.5138106952,24114.064723738742,75518.96289765165,9
2025-02-09,51622.5619004435,23648.66349117817,79596.46030970883,9
2025-02-16,50562.60108064942,20488.324774207635,80636.87738709121,9
2025-02-23,48978.86808775404,16941.621038412948,81016.11513709513,9
2025-03-02,50703.32872146247,16816.63071701207,84590.02672591287,9
2025-03-09,50223.36226712326,14583.056365109289,85863.66816913724,9
2025-03-16,51120.898188533494,13809.31140998118,88432.48496708581,9
2025-03-23,49529.30973862123,10618.159523319853,88440.4599539226,9
2025-03-30,49387.42990991393,8939.924248599571,89834.9355712283,9
2025-04-06,51166.98246688556,9239.380372723703,93094.5845610474,9
2025-04-13,54935.55765127384,11578.356167429498,98292.75913511819,9
2025-04-20,54135.36530636099,9394.220666835026,98876.50994588695,9
2025-04-27,53992.80060325534,7909.255526956236,100076.34567955445,9
2025-05-04,55196.368225350765,7808.434846234093,102584.30160446744,9
2025-05-11,54458.38659786156,5801.019909066024,103115.7532866571,9
2025-05-18,55833.44235024975,5938.929262814803,105727.9554376847,9
2025-05-25,54733.00373355893,3631.2861560006713,105834.72131111719,9
2025-06-01,53623.59120157071,1342.5368652163597,105904.64553792505,9
2025-06-08,55945.889114199716,2511.520533059498,109380.25769533994,9
2025-06-15,51872.63562610815,-2690.674838062303,106435.94609027861,9
2025-06-22,51618.74370263013,-4050.61907397944,107288.1064792397,9
2025-06-29,53113.01455924345,-3640.849230793545,109866.87834928045,9
2025-07-06,52306.67735932199,-5511.348880272009,110124.70359891599,9
2025-07-13,53820.72259868386,-5042.230617976013,112683.67581534374,9
2025-07-20,56114.988615974966,-3774.6629486400925,116004.64018059002,9
2025-07-27,54948.30553557096,-5950.737705479289,115847.3487766212,9
2025-08-03,54021.08066067616,-7870.89435078729,115913.05567213961,9
2025-08-10,54003.943808886404,-8865.282955596114,116873.17057336893,9
2025-08-17,52350.925216884876,-11480.593464000623,116182.44389777037,9
