,Forecast,Lower Bound,Upper Bound
2025-01-12,157634.3804693857,88350.43898998777,226918.32194878365
2025-01-19,181676.7125406483,109639.18079856274,253714.24428273385
2025-01-26,185184.47174622974,108005.1029545844,262363.8405378751
2025-02-02,188619.86327504693,106620.44891944551,270619.27763064834
2025-02-09,187583.31239561312,101031.86560096718,274134.75919025904
2025-02-16,196626.30683063765,105750.55687592621,287502.0567853491
2025-02-23,191370.93497670692,96367.50915733949,286374.3607960744
2025-03-02,194112.24896902172,95153.1669957088,293071.3309423346
2025-03-09,192914.25219676786,90151.6671154958,295676.8372780399
2025-03-16,201014.9683412439,94584.71944474598,307445.2172377418
2025-03-23,201696.5454261772,91720.88053727869,311672.2103150757
2025-03-30,189134.380619204,75724.08190105352,302544.6793373545
2025-04-06,195123.35102156643,78379.42251594806,311867.2795271848
2025-04-13,200825.53558492646,80840.56223196968,320810.50893788325
2025-04-20,200359.76714372938,77219.02320373784,323500.5110837209
2025-04-27,197871.94361831967,71654.30695180868,324089.58028483065
2025-05-04,208801.07041610923,79579.78426996306,338022.3565622554
2025-05-11,199331.8206791189,67175.13420110143,331488.50715713634
2025-05-18,215763.44987682966,80735.16110579541,350791.7386478639
2025-05-25,211926.86505451097,74086.7846859236,349766.94542309834
2025-06-01,220591.38431091135,79995.7345076424,361187.0341141803
2025-06-08,219742.9321007749,76444.69159800999,363041.1726035398
2025-06-15,214634.7029269386,68683.90738689003,360585.49846698716
2025-06-22,226766.11266674023,78210.11747853563,375322.1078549448
2025-06-29,236256.25939981616,85139.97075447295,387372.5480451594
2025-07-06,214385.83341615673,60751.91241715502,368019.7544151584
2025-07-13,209671.29215507105,53560.33588001548,365782.2484301266
2025-07-20,223267.8038587799,64718.506614367216,381817.10110319254
2025-07-27,212033.24555621538,51082.54302813712,372983.94808429363
2025-08-03,239462.12217103684,76145.32073325841,402778.9236088153
2025-08-10,226866.01330681465,61216.906398713385,392515.12021491595
2025-08-17,221358.60501733885,53409.57820552203,389307.63182915567
2025-08-24,215435.929678652,45218.055779871385,385653.80357743264
2025-08-31,232583.21706657493,60126.34250888732,405040.0916242625
2025-09-07,224880.62762160815,50213.45105488508,399547.80418833124
2025-09-14,221231.50777548924,44381.65180332391,398081.3637476546
2025-09-21,210701.57126513816,31695.648053194047,389707.4944770823
2025-09-28,218122.3364271268,36986.00784408071,399258.6650101729
2025-10-05,233662.52082907234,50420.55369236521,416904.4879657795
2025-10-12,279692.30581363523,94368.62274070774,465015.98888656276
2025-10-19,214767.07060791855,27384.796912406775,402149.3443034303
2025-10-26,205597.9237165911,16179.430736405833,395016.41669677634
2025-11-02,211027.79535107582,19594.740550006245,402460.8501521454
2025-11-09,211637.27127327278,18210.635418605292,405063.90712794027
2025-11-16,212210.40077603474,16810.52246072219,407610.2790913473
2025-11-23,205550.54869833935,8197.156446714333,402903.94094996434
2025-11-30,193548.21702362498,-5739.540806123754,392835.9748533737
2025-12-07,207101.98314976293,5898.455823841767,408305.5104756841
2025-12-14,200793.49647708362,-2307.7304910907696,403894.723445258
2025-12-21,192887.86877041223,-12093.489854126412,397869.22739495087
2025-12-28,189070.3826574699,-17774.018695686274,395914.784010626
2026-01-04,220856.82399745676,12166.011169653095,429547.6368252604
